ZipCode,Community,Estimated Median Income,value - min,/max-min
91740,Glendora,"$92,975 ","$70,684 ",0.37
91741,Glendora,"$113,446 ","$91,155 ",0.48
91744,"City of Industry, La Puente, Valinda","$80,266 ","$57,975 ",0.31
91745,Hacienda Heights,"$94,608 ","$72,317 ",0.38
91746,"Avocado Heights, Bassett, West Puente Valley","$79,042 ","$56,751 ",0.3
91748,"City of Industry, Rowland Heights","$77,183 ","$54,892 ",0.29
91750,La Verne,"$96,184 ","$73,893 ",0.39
91754,Monterey Park,"$71,735 ","$49,444 ",0.26
91755,Monterey Park,"$66,355 ","$44,064 ",0.23
91759,Mount Baldy (Portion in LA County),"$101,688 ","$79,397 ",0.42
91765,Diamond Bar,"$99,705 ","$77,414 ",0.41
91766,Pomona (Phillips Ranch),"$67,756 ","$45,465 ",0.24
91767,Pomona,"$70,039 ","$47,748 ",0.25
91768,Pomona,"$64,820 ","$42,529 ",0.22
91770,Rosemead,"$65,042 ","$42,751 ",0.23
91773,San Dimas,"$100,614 ","$78,323 ",0.41
91775,San Gabriel,"$99,362 ","$77,071 ",0.41
91776,San Gabriel,"$70,538 ","$48,247 ",0.25
91780,Temple City,"$88,119 ","$65,828 ",0.35
91789,"City of Industry, Diamond Bar, Walnut","$116,583 ","$94,292 ",0.5
91790,West Covina,"$93,181 ","$70,890 ",0.37
91791,West Covina,"$89,794 ","$67,503 ",0.36
91792,West Covina,"$88,610 ","$66,319 ",0.35
91801,Alhambra,"$73,060 ","$50,769 ",0.27
91803,Alhambra,"$72,773 ","$50,482 ",0.27
93510,Acton,"$113,056 ","$90,765 ",0.48
93532,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$80,357 ","$58,066 ",0.31
93534,Lancaster,"$46,875 ","$24,584 ",0.13
93535,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$51,560 ","$29,269 ",0.15
93536,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$89,987 ","$67,696 ",0.36
93543,"Juniper Hills, Littlerock, Sun Village","$61,936 ","$39,645 ",0.21
93544,"Crystalaire, Llano","$73,409 ","$51,118 ",0.27
93550,"Lake Los Angeles, Palmdale","$54,693 ","$32,402 ",0.17
93551,"City Ranch, Leona Valley, Palmdale","$98,181 ","$75,890 ",0.4
93552,Palmdale,"$73,074 ","$50,783 ",0.27
93553,"Juniper Hills, Pearblossom","$59,805 ","$37,514 ",0.2
93563,"Pearblossom, Valyermo","$210,600 ","$188,309 ",0.99
93591,"Lake Los Angeles, Palmdale","$53,733 ","$31,442 ",0.17
