,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
70,91605,812.0,811.0,0.172736954,"52,661",1.32%,7.53%,2.53%,0.19%,27.02%,27.73%,10.78%,61.29%,"52,633",0.480741302,Los Angeles (North Hollywood),"$56,403 ","$34,112 ",0.18
71,90006,1495.0,1494.0,0.318210863,"57,136",1.09%,18.43%,3.32%,0.21%,4.89%,36.94%,10.61%,72.57%,"57,108",0.521615228,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$41,068 ","$18,777 ",0.1
72,91306,657.0,656.0,0.13972311,"49,260",0.58%,18.42%,3.70%,0.15%,24.52%,32.89%,8.35%,48.87%,"49,232",0.449677119,Los Angeles (Winnetka),"$77,597 ","$55,306 ",0.29
73,90011,1473.0,1472.0,0.313525027,"109,511",1.41%,0.64%,6.10%,0.10%,0.70%,49.61%,10.88%,91.77%,"109,483",1.0,Los Angeles (Southeast Los Angeles),"$47,126 ","$24,835 ",0.13
74,91403,1172.0,1171.0,0.249414271,"26,061",0.08%,7.84%,5.40%,0.03%,66.97%,4.20%,8.43%,14.36%,"26,033",0.237781208,"Los Angeles (Sherman Oaks, Van Nuys)","$104,499 ","$82,208 ",0.43
75,90041,779.0,778.0,0.1657082,"28,956",1.63%,26.62%,2.13%,0.13%,30.68%,13.49%,12.27%,35.57%,"28,928",0.264223669,Los Angeles (Eagle Rock),"$95,811 ","$73,520 ",0.39
76,90230,255.0,254.0,0.054100106,,,,,,,,,,,,Culver City,"$96,837 ","$74,546 ",0.39
77,90732,728.0,727.0,0.15484558,"21,582",0.09%,12.05%,5.28%,0.30%,46.48%,7.63%,11.95%,33.29%,"21,554",0.196870747,"Los Angeles (San Pedro), Rancho Palos Verdes","$105,297 ","$83,006 ",0.44
78,91436,540.0,539.0,0.114802982,"16,970",0.39%,3.86%,1.76%,0.11%,80.14%,2.49%,6.89%,8.57%,"16,942",0.154745486,Los Angeles (Encino),"$157,898 ","$135,607 ",0.71
79,90501,635.0,634.0,0.135037274,"43,450",0.20%,26.95%,5.28%,0.17%,18.99%,25.05%,12.87%,44.78%,"43,422",0.396609519,Torrance,"$80,816 ","$58,525 ",0.31
80,91343,839.0,838.0,0.178487753,"64,519",0.72%,13.41%,4.41%,0.00%,19.43%,36.72%,10.41%,61.25%,"64,491",0.589050355,Los Angeles (North Hills),"$71,380 ","$49,089 ",0.26
81,13359,240.0,239.0,0.050905218,,,,,,,,,,,,,,,
82,90250,45.0,44.0,0.009371672,,,,,,,,,,,,Hawthorne (Holly Park),"$65,935 ","$43,644 ",0.23
83,90018,2124.0,2123.0,0.452183174,"51,388",0.37%,5.38%,28.04%,0.17%,7.47%,28.49%,9.66%,56.88%,"51,360",0.469113926,"Los Angeles (Jefferson Park, Leimert Park)","$55,275 ","$32,984 ",0.17
84,91303,661.0,660.0,0.14057508,"29,965",1.10%,10.33%,3.66%,0.00%,25.40%,36.31%,10.56%,58.03%,"29,937",0.273439712,Los Angeles (Canoga Park),"$66,494 ","$44,203 ",0.23
85,90068,861.0,860.0,0.183173589,"21,127",0.18%,7.00%,5.77%,0.04%,71.25%,2.87%,6.77%,11.92%,"21,099",0.192714851,Los Angeles (Hollywood),"$90,733 ","$68,442 ",0.36
86,90065,1283.0,1282.0,0.273056443,"46,432",1.78%,14.27%,1.91%,0.02%,25.84%,30.47%,11.48%,54.57%,"46,404",0.423846625,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$80,386 ","$58,095 ",0.31
87,90008,2008.0,2007.0,0.427476038,"31,046",0.65%,4.18%,65.90%,0.22%,5.88%,13.46%,5.21%,23.15%,"31,018",0.283313391,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$49,379 ","$27,088 ",0.14
88,90020,732.0,731.0,0.155697551,"38,124",1.30%,44.38%,6.88%,0.19%,12.00%,21.82%,5.40%,34.08%,"38,096",0.347962697,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$51,013 ","$28,722 ",0.15
89,91423,1167.0,1166.0,0.248349308,"31,901",0.09%,6.21%,3.99%,0.00%,70.02%,2.36%,10.56%,13.25%,"31,873",0.291122823,"Los Angeles (Sherman Oaks, Van Nuys)","$97,727 ","$75,436 ",0.4
90,91324,654.0,653.0,0.139084132,"29,328",0.74%,20.65%,5.46%,0.19%,34.12%,21.69%,9.52%,36.47%,"29,300",0.267621457,Los Angeles (Northridge),"$88,003 ","$65,712 ",0.35
91,90010,244.0,243.0,0.051757188,"4,313",0.83%,61.95%,5.54%,1.51%,17.71%,2.39%,3.52%,10.29%,"4,285",0.039138496,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$76,547 ","$54,256 ",0.29
92,91331,1042.0,1041.0,0.22172524,"102,553",0.87%,5.17%,2.28%,0.12%,4.27%,32.74%,14.53%,87.21%,"102,525",0.936446754,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$72,089 ","$49,798 ",0.26
93,90248,428.0,427.0,0.090947817,"11,472",0.62%,34.05%,17.01%,0.38%,5.90%,21.28%,8.75%,36.54%,"11,444",0.104527644,Gardena,"$69,645 ","$47,354 ",0.25
94,91030,16.0,15.0,0.003194888,,,,,,,,,,,,South Pasadena,"$115,088 ","$92,797 ",0.49
95,90063,338.0,337.0,0.071778488,"52,954",1.73%,1.62%,0.52%,0.09%,2.66%,62.18%,6.31%,95.27%,"52,926",0.483417517,"City Terrace, Los Angeles (Boyle Heights)","$57,026 ","$34,735 ",0.18
96,90077,241.0,240.0,0.051118211,"7,729",0.00%,7.52%,1.72%,0.00%,77.05%,1.44%,10.67%,5.81%,"7,701",0.070339687,"Los Angeles (Bel Air Estates, Beverly Glen)","$200,625 ","$178,334 ",0.94
97,90067,280.0,279.0,0.05942492,"2,483",0.00%,18.73%,2.26%,0.00%,71.45%,4.07%,3.50%,5.16%,"2,455",0.022423573,Los Angeles (Century City),"$109,704 ","$87,413 ",0.46
98,,757.0,756.0,0.161022364,,,,,,,,,,,,,,,
99,90069,355.0,354.0,0.075399361,"20,185",0.00%,7.21%,2.76%,0.00%,76.31%,2.16%,6.97%,8.39%,"20,157",0.184110775,"Los Angeles (Hollywood, Melrose), West Hollywood","$98,440 ","$76,149 ",0.4
100,91505,12.0,11.0,0.002342918,,,,,,,,,,,,Burbank,"$94,610 ","$72,319 ",0.38
101,91602,397.0,396.0,0.084345048,"20,465",0.44%,10.75%,7.12%,0.46%,59.42%,6.91%,9.72%,18.02%,"20,437",0.18666825,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)","$83,866 ","$61,575 ",0.32
102,90053,94.0,93.0,0.019808307,,,,,,,,,,,,,,,
